B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,,,,,,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,,,,,,,,B0,B0,,,,,,,,,,,,,,,,,,,,B0
B0,B0,B0,B0,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0,B0,B0,,,,,,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,,,,,,,,B0,B0,,,,,,,,,,,,,,,,,,,,B0
B0,B0,B0,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0,B0,B0,,,,,,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0,B0,B0,,,,,,B0,B0,,,,,,,,,,,,,,,,,,,,B0
B0,B0,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0,B0,B0,,,,,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,,,,,,,,,,,,,,B0,B0,B0,,,B0,B0,B0,B0,,,,,,B0,B0,,,,,,,,,,,,,,,,,,,,B0
B0,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0,B0,B0,,,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,,,E1,,,,,E1,,,,,,B0,B0,B0,,,,B0,B0,B0,,,,,,B0,B0,,,,,,,,,,,,,,,,,,,,B0
B0,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,,,,,,B0,B0,B0,,,,,,,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,,,,B0,B0,B0,,,,,,B0,B0,,,,,,,,,,,,,,,,,,,,B0
B0,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,,,,,,,B2,,,,,,,,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,,,B0,B0,B0,,,,,,B0,B0,,,,,,,,,,,,,,,,,,,,B0
B0,B0,,,,,B0,,,,E0,,,,E0,,,,,E0,,,,B0,,,E0,,,,,,,B1,,,,,,,B2,,,,,,,,,B1,,,,,,,,,,,,,,,,B2,,,,,B0,B0,B0,,,,,,B0,B0,,,,,,,,,,,,,,,,,,,,B0
B0,B0,B0,,,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,,,B2,,,,,,,,,B1,,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,,,B2,,,,,B0,B0,B0,,,,,,B0,B0,,,,,,,,,,,,,,,,,,,,B0
B0,B0,B0,,,,B1,,,,,,,,,,,,,,,,,B1,,,,,,,,,B0,B0,,,B1,B2,,B0,B0,B0,,,,,,,,B0,B0,B0,B0,,,,,,,,,B0,B0,B0,,B2,,,,B0,B0,,B1,,,,,,B0,B0,,,,,,,,,,,,,,,,,,,,B0
B0,B0,B0,,,,B1,,,,,,,,,,,,,,,,,B1,,,,,,,,,B0,B0,,,B0,B0,B0,B0,B0,B0,E1,,,,E1,,B0,B0,B0,B0,,,,,,,,,,,B0,B0,B0,B0,B0,,,,B0,,B1,,,E1,,,B0,B0,,,,,,,,,,,,,,,,,,,,B0
